,Name,Display,Memory,Camera,Original_Price,Discounted_Price,Off_Upto
186,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹33,999","₹8,499",39% off
187,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",16.76 cm (6.6 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 5MP | 13MP Front Camera,"₹37,999","₹18,499",45% off
188,"OnePlus Nord 5 5G (Phantom Grey, 256 GB)",17.35 cm (6.83 inch) Display,12 GB RAM | 256 GB ROM,50MP Rear Camera,"₹37,999","₹37,998",
189,"OnePlus Nord 5 5G (Dry Ice, 256 GB)",17.35 cm (6.83 inch) Display,12 GB RAM | 256 GB ROM,50MP Rear Camera,"₹59,999","₹37,489",1% off
190,"Samsung Galaxy S24 FE 5G (Blue, 128 GB)",17.02 cm (6.7 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP + 12MP + 8MP | 10MP Front Camera,"₹16,999","₹34,999",41% off
191,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",17.02 cm (6.7 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,,"₹9,999",41% off
192,"vivo T4x 5G (Glacial Teal, 128 GB)",17.07 cm (6.72 inch) Display,6 GB RAM | 128 GB ROM,50MP + 2MP | 8MP Front Camera,"₹17,999","₹15,499",13% off
193,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",16.94 cm (6.67 inch) Display,8 GB RAM | 128 GB ROM,50MP + 2MP | 16MP Front Camera,"₹22,999","₹19,999",13% off
194,"Samsung Galaxy F07 (Green, 64 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,"₹9,999","₹6,799",32% off
195,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.5 cm (1.77 inch) Display,32 MB RAM | 32 MB ROM,0MP | 0MP Front Camera,"₹1,599","₹1,202",24% off
196,"MOTOROLA Edge 70 (PANTONE Lily Pad, 256 GB)",17.02 cm (6.7 inch) Display,8 GB RAM | 256 GB ROM,50MP + 50MP | 50MP Front Camera,"₹34,999","₹29,999",14% off
197,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",17.02 cm (6.7 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹16,999","₹9,999",41% off
198,"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)",16.94 cm (6.67 inch) Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 8MP Front Camera,"₹12,999","₹11,999",7% off
199,"OnePlus Nord 5 5G (Marble Sands, 256 GB)",17.35 cm (6.83 inch) Full HD+ AMOLED Display,8 GB RAM | 256 GB ROM,50MP + 50MP + 8MP | 50MP Front Camera,"₹34,999","₹34,946",
200,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹15,499","₹8,999",41% off
201,"realme P4x 5G (Matte Silver, 128 GB)",17.07 cm (6.72 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,50MP + 2MP | 8MP Front Camera,"₹17,999","₹15,999",11% off
202,Kechaoda K115,3.66 cm (1.44 inch) QVGA Display,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,0.3MP + 0MP | 0MP Front Camera,"₹1,499",₹974,35% off
203,Jio PRIMA2 4G,6.1 cm (2.4 inch) QVGA Display,500 MB RAM | 4 GB ROM | Expandable Upto 128 GB,0.3MP Rear Camera,"₹4,199","₹3,149",25% off
204,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",16.94 cm (6.67 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,"₹15,999","₹12,499",21% off
